source,line_code,station_name,station,entry,bus_stop_count,win_count,songtaew_count,minibus_count,taxi_count,tuktuk_count,samlor_count,van_count,kiss_ride_count,park_ride_car_count,park_ride_moto_count,bike_parking_count,bike_share_count,scooter_share_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_min_dist,bike_share_mean_dist,bus_stop_min_dist,bus_stop_mean_dist,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_min_dist,minibus_mean_dist,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_min_dist,park_ride_moto_mean_dist,samlor_min_dist,samlor_mean_dist,scooter_share_min_dist,scooter_share_mean_dist,songtaew_min_dist,songtaew_mean_dist,taxi_min_dist,taxi_mean_dist,tuktuk_min_dist,tuktuk_mean_dist,van_min_dist,van_mean_dist,win_min_dist,win_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1
CUTI,BL38,หลักสอง,MRT หลักสอง,18347.0,6,4,1,0,5,0,0,0,0,2,0,3,0,0,11.18706852,11.451319095,0.0,0.0,20.86137019,89.98549986333332,0.0,0.0,0.0,0.0,133.3418897,155.3376544,0.0,0.0,0.0,0.0,0,0,90.21625991,90.21625991,11.71556967,20.1060775,0.0,0.0,0.0,0.0,22.4611779,70.88591915333335,22,7.18,4.0,13.5,2.74,2358.0,2169.0,2169.0,189.0,3593.5,2207.4,0.0,0.0,0.0,0.0,2358.0,100.0,420.0,17.8,1730.0,73.4,208.0,8.8,0.0,0.0,0.0,0.0,2358.0,100.0
CUTI,BL18,ห้วยขวาง,MRT ห้วยขวาง,19020.0,11,13,0,0,0,1,0,0,0,1,1,1,0,0,30.32956195,30.32956195,0.0,0.0,15.78183332,73.9658611125,0.0,0.0,0.0,0.0,42.07529835,42.07529835,43.91083378,43.91083378,0.0,0.0,0,0,0.0,0.0,0.0,0.0,57.62400543,57.62400543,0.0,0.0,17.33342803,39.892540525,22,6.2,4.0,11.5,2.48,6343.0,3115.0,3115.0,3228.0,3605.4,3306.9,0.0,0.0,2331.0,36.7,4012.0,63.3,158.0,2.5,5098.0,80.4,1087.0,17.1,334.0,5.3,2294.0,36.2,3715.0,58.6
CUTI,BL32,อิสรภาพ,MRT อิสรภาพ,6593.0,11,2,0,0,0,1,0,0,3,0,0,4,1,0,20.0,25.065726294999997,60.0,60.0,25.0,82.5,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,30.13145259,30.13145259,0.0,0.0,25.0,202.5,9,7.44,4.0,14.0,2.95,2980.0,1484.0,1484.0,1496.0,1989.5,1548.3,0.0,0.0,0.0,0.0,2980.0,100.0,0.0,0.0,685.0,23.0,2295.0,77.0,0.0,0.0,37.0,1.2,2943.0,98.8
CUTI,BL35,เพชรเกษม48,MRT เพชรเกษม48,3347.0,6,2,0,0,0,0,0,0,0,0,0,6,0,0,5.995973931,19.6323335855,0.0,0.0,66.86114499,91.77131459999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.174404949,9.174404949,8,5.0,4.0,7.5,6.3,1907.0,1907.0,1907.0,0.0,3279.9,2000.7,0.0,0.0,0.0,0.0,1907.0,100.0,0.0,0.0,1907.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1907.0,100.0
CUTI,YL09,แยกลำสาลี,MRT แยกลำสาลี,2578.0,9,17,0,1,0,0,0,0,0,0,0,5,0,0,5.0,41.666666666666664,0.0,0.0,69.0,109.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.5,63,4.91,3.5,12.0,1.75,5090.0,4810.0,4810.0,280.0,5360.5,4558.9,0.0,0.0,2910.0,57.2,2180.0,42.8,4390.0,86.2,700.0,13.8,0.0,0.0,0.0,0.0,3210.0,63.1,1880.0,36.9
CUTI,YL03,โชคชัย 4,MRT โชคชัย 4,1577.0,9,9,0,2,0,0,0,0,6,0,0,7,0,0,5.0,9.333333333333334,0.0,0.0,6.0,34.666666666666664,140.0,193.33333333333337,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,25.5,56,4.64,4.0,12.0,2.02,3100.0,2550.0,2550.0,550.0,5886.6,2492.3,0.0,0.0,0.0,0.0,3100.0,100.0,550.0,17.7,0.0,0.0,2550.0,82.3,0.0,0.0,0.0,0.0,3100.0,100.0
CUTI,BL03,ไฟฉาย,MRT ไฟฉาย,3714.0,12,4,0,0,0,0,0,0,0,0,0,2,0,0,315.0,342.5,0.0,0.0,130.0,157.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,31,6.37,4.0,12.0,2.91,3792.0,3792.0,3792.0,0.0,4797.4,3892.2,461.0,12.2,0.0,0.0,3331.0,87.8,3121.0,82.3,508.0,13.4,163.0,4.3,461.0,12.2,0.0,0.0,3331.0,87.8
CUTI,RN07,การเคหะฯ,SRT การเคหะฯ,731.6818182,2,6,0,0,0,0,0,0,4,3,1,2,0,0,29.18036803,33.855910465,0.0,0.0,7.080162249,39.1293604945,12.17172708,53.79324429,0.0,0.0,39.87124286,51.00344246,41.75156835,41.75156835,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93167941,54.557146785,40,6.08,4.0,19.0,3.81,1565.0,1157.0,1157.0,408.0,4536.6,1220.4,0.0,0.0,0.0,0.0,1565.0,100.0,755.0,48.2,0.0,0.0,810.0,51.8,0.0,0.0,0.0,0.0,1565.0,100.0
CUTI,RN02,จตุจักร,SRT จตุจักร,563.7272727,5,3,0,0,0,0,0,0,9,2,2,2,0,0,10.80637283432034,19.454332134160644,0.0,0.0,85.0,98.08115102425452,10.0,66.6,0.0,0.0,15.0,57.5,23.0,71.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191.81537758100703,226.94820147130568,27,6.15,4.0,9.0,3.48,6246.0,3123.0,3123.0,3123.0,4999.5,3123.1,0.0,0.0,3025.0,48.4,3221.0,51.6,3025.0,48.4,2525.0,40.4,696.0,11.1,250.0,4.0,3490.0,55.9,2506.0,40.1
CUTI,RW06,ตลิ่งชัน,SRT ตลิ่งชัน,989.2727273,4,1,0,0,2,0,0,0,1,2,1,0,0,0,0.0,0.0,0.0,0.0,18.37948349,75.43308659499999,18.37948349,18.37948349,0.0,0.0,18.37948349,119.189741745,70.0,70.0,0.0,0.0,0,0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,80.0,80.0,19,6.16,4.0,13.5,2.87,3460.0,2121.0,2121.0,1339.0,2816.9,2080.4,0.0,0.0,490.0,14.2,2970.0,85.8,2663.0,77.0,797.0,23.0,0.0,0.0,0.0,0.0,490.0,14.2,2970.0,85.8
