source,line_code,station_name,station,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,win_count,win_min_dist,win_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,entry
A21,PK22,รามอินทรา กม.6,PK22 รามอินทรา กม.6,4,1.0,9.25,0,0.0,0.0,0,0.0,0.0,4,47.0,218.75,0,0.0,0.0,0,0.0,0.0,4,20.0,186.75,0,0.0,0.0,0,0,0,0,0.0,0.0,3,16.0,67.66666666666667,0,0.0,0.0,1418.0
A21,PK23,คู้บอน,PK23 คู้บอน,4,3.0,50.5,0,0.0,0.0,0,0.0,0.0,3,50.0,106.66666666666669,0,0.0,0.0,0,0.0,0.0,1,80.0,80.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,6.5,38.25,0,0.0,0.0,1453.0
A21,PK24,รามอินทรา กม.9,PK24 รามอินทรา กม.9,4,4.0,10.75,0,0.0,0.0,0,0.0,0.0,4,45.0,178.0,0,0.0,0.0,0,0.0,0.0,1,25.0,25.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,2.5,4.5,0,0.0,0.0,2015.0
A21,PK25,วงแหวนรามอินทรา,PK25 วงแหวนรามอินทรา,3,14.0,36.333333333333336,0,0.0,0.0,0,0.0,0.0,4,1.0,207.5,0,0.0,0.0,1,,,1,5.0,5.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,8.0,20.5,0,0.0,0.0,3113.0
A21,PK26,นพรัตน์,PK26 นพรัตน์,4,7.0,8.625,0,0.0,0.0,0,0.0,0.0,4,45.0,154.75,0,0.0,0.0,0,0.0,0.0,1,100.0,100.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1.5,2.75,0,0.0,0.0,761.0
A21,PK27,บางชัน,PK27 บางชัน,4,0.5,7.0,0,0.0,0.0,0,0.0,0.0,4,37.0,154.5,0,0.0,0.0,0,0.0,0.0,3,45.0,222.0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,20.0,28.0,0,0.0,0.0,713.0
A21,PK28,เศรษฐบุตรบำเพ็ญ,PK28 เศรษฐบุตรบำเพ็ญ,4,4.0,19.25,0,0.0,0.0,0,0.0,0.0,4,90.0,125.0,0,0.0,0.0,0,0.0,0.0,3,54.0,111.33333333333331,0,0.0,0.0,0,0,0,0,0.0,0.0,2,12.0,32.0,0,0.0,0.0,862.0
A21,PK29,ตลาดมีนบุรี,PK29 ตลาดมีนบุรี,4,3.0,11.75,0,0.0,0.0,0,0.0,0.0,4,6.0,110.5,0,0.0,0.0,2,75.0,192.5,4,8.0,35.25,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,9.5,0,0.0,0.0,3071.0
A21,PK30,มีนบุรี,PK30 มีนบุรี,1,35.0,35.0,1,90.0,90.0,0,0.0,0.0,1,340.0,340.0,0,0.0,0.0,0,0.0,0.0,1,97.0,97.0,1,70.0,70.0,0,0,0,0,0.0,0.0,1,5.5,5.5,0,0.0,0.0,1811.0
A21,PP01,คลองบางไผ่,PP01 คลองบางไผ่,3,5.0,16.666666666666668,1,166.0,166.0,0,0.0,0.0,3,2.0,22.333333333333332,0,0.0,0.0,0,0.0,0.0,2,45.0,63.5,1,20.0,20.0,0,0,0,0,0.0,0.0,3,12.0,22.666666666666668,0,0.0,0.0,6697.0
A21,PP02,ตลาดบางใหญ่,PP02 ตลาดบางใหญ่,2,3.0,12.5,0,0.0,0.0,0,0.0,0.0,4,60.0,133.75,0,0.0,0.0,0,0.0,0.0,4,16.0,24.0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,7.0,9.5,0,0.0,0.0,5427.0
A21,PP03,สามแยกบางใหญ่,PP03 สามแยกบางใหญ่,4,10.0,28.5,1,5.0,5.0,0,0.0,0.0,4,2.0,24.5,0,0.0,0.0,0,0.0,0.0,3,37.0,139.0,1,5.0,5.0,0,0,0,0,0.0,0.0,2,2.0,11.0,0,0.0,0.0,1451.0
