source,line_code,line_id,เจ้าของโครงการ (รัฐ),ผู้เดินรถ / สัมปทาน (เอกชน),station_name,station,entry,bus_stop_count,win_count,songtaew_count,minibus_count,taxi_count,tuktuk_count,samlor_count,van_count,kiss_ride_count,park_ride_car_count,park_ride_moto_count,bike_parking_count,bike_share_count,scooter_share_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_min_dist,bike_share_mean_dist,bus_stop_min_dist,bus_stop_mean_dist,kiss_ride_min_dist,kiss_ride_mean_dist,minibus_min_dist,minibus_mean_dist,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_min_dist,park_ride_moto_mean_dist,samlor_min_dist,samlor_mean_dist,scooter_share_min_dist,scooter_share_mean_dist,songtaew_min_dist,songtaew_mean_dist,taxi_min_dist,taxi_mean_dist,tuktuk_min_dist,tuktuk_mean_dist,van_min_dist,van_mean_dist,win_min_dist,win_mean_dist,n_segments,road_width_mean,road_width_min,road_width_max,sw_width_mean,sw_total_length,sidewalk_length,sidewalk_length_1,sidewalk_length_2,road_length_gt4m,road_length_gt4m_atleast1sw,sidewalk_length_surface_neg1,surface_pct_neg1,sidewalk_length_surface_0,surface_pct_0,sidewalk_length_surface_1,surface_pct_1,sidewalk_length_shade_neg1,shade_pct_neg1,sidewalk_length_shade_0,shade_pct_0,sidewalk_length_shade_1,shade_pct_1,sidewalk_length_obstacle_neg1,obs_pct_neg1,sidewalk_length_obstacle_0,obs_pct_0,sidewalk_length_obstacle_1,obs_pct_1,POP25,PRIM25,SEC25,TER25,STU25,TOUR25,COMAR25,n_zones_in_buffer,station_typology
A21,PK08,PK,รฟม.,BTS Group (NBM),แจ้งวัฒนะ-ปากเกร็ด 28,PK08 แจ้งวัฒนะ-ปากเกร็ด 28,4181.0,5,4,0,0,1,0,0,0,2,0,0,3,0,0,3.0,19.666666666666668,0.0,0.0,48.0,154.66666666666666,15.0,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,92.0,92.0,0.0,0.0,0.0,0.0,50.0,67.5,37,6.96,3.1,28.0,2.85,1932.0,978.0,978.0,954.0,6599.2,1141.4,606.0,31.4,1075.0,55.6,251.0,13.0,1429.0,74.0,503.0,26.0,0.0,0.0,0.0,0.0,1413.0,73.1,519.0,26.9,4720.25,0.0,1833.75,7782.75,4485.75,134.25,77500.0,4,Local Station
A21,PK09,PK,รฟม.,BTS Group (NBM),ศรีรัช,PK09 ศรีรัช,1083.0,5,3,0,0,0,0,0,0,1,0,0,3,0,0,27.0,38.5,0.0,0.0,75.0,82.5,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,57,7.56,2.8,28.0,3.57,3835.0,2176.0,1909.0,1926.0,8156.6,2407.9,299.0,7.8,1796.0,46.8,1740.0,45.4,2004.0,52.3,936.0,24.4,895.0,23.3,28.0,0.7,2617.0,68.2,1190.0,31.0,4689.2,0.0,1337.6,8715.4,3597.2,153.4,3174.6,5,Local Station
A21,PK11,PK,รฟม.,BTS Group (NBM),แจ้งวัฒนะ 14,PK11 แจ้งวัฒนะ 14,2534.0,4,7,0,0,0,0,0,0,3,0,0,3,0,0,8.0,15.666666666666666,0.0,0.0,18.0,31.5,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,53,7.17,2.5,28.0,2.36,2396.0,1422.0,1176.0,1220.0,7691.2,2043.5,228.0,9.5,332.0,13.9,1377.0,57.5,1151.0,48.0,1090.0,45.5,155.0,6.5,383.0,16.0,1603.0,66.9,410.0,17.1,5331.0,0.0,309.75,13885.5,256.5,184.0,20475.75,4,Local Station
A21,PK12,PK,รฟม.,BTS Group (NBM),ศูนย์ราชการเฉลิมพระเกียรติ,PK12 ศูนย์ราชการเฉลิมพระเกียรติ,3624.0,8,2,0,0,0,0,0,0,2,0,0,3,0,0,1.0,13.666666666666666,0.0,0.0,2.4,87.1,0.5,7.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,145.0,11,15.24,5.1,31.5,2.75,3486.0,2178.0,1798.0,1688.0,2600.4,2335.6,0.0,0.0,0.0,0.0,2524.0,72.4,1249.0,35.8,1517.0,43.5,720.0,20.7,0.0,0.0,1824.0,52.3,1662.0,47.7,5331.0,0.0,309.75,13885.5,256.5,184.0,20475.75,4,Local Station
A21,PK13,PK,รฟม.,BTS Group (NBM),โทรคมนาคมแห่งชาติ,PK13 โทรคมนาคมแห่งชาติ,1759.0,4,4,0,0,0,0,0,0,2,0,0,5,0,0,8.0,18.666666666666668,0.0,0.0,32.0,101.5,1.5,28.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,155.5,20,12.51,4.9,32.5,2.75,3702.0,2041.0,1614.0,2088.0,3569.2,2504.0,507.0,13.7,802.0,21.7,1645.0,44.4,1894.0,51.2,1201.0,32.4,607.0,16.4,453.0,12.2,1993.0,53.8,1256.0,33.9,5561.75,0.0,115.5,15055.75,23.5,101.75,0.0,4,Local Station
A21,PK15,PK,รฟม.,BTS Group (NBM),ราชภัฎพระนคร,PK15 ราชภัฎพระนคร,1688.0,5,4,0,0,0,0,0,0,2,0,0,2,0,0,1.0,4.5,0.0,0.0,63.0,104.0,20.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,57,7.01,1.8,28.0,2.92,2048.0,991.0,964.0,1084.0,6191.0,1193.4,0.0,0.0,678.0,33.1,1370.0,66.9,1327.0,64.8,603.0,29.4,118.0,5.8,0.0,0.0,1645.0,80.3,403.0,19.7,7680.666666666667,0.0,2043.0,4589.333333333333,3542.0,91.0,6098.0,6,Local Station
A21,PK17,PK,รฟม.,BTS Group (NBM),รามอินทรา 3,PK17 รามอินทรา 3,1534.0,7,2,0,0,1,0,0,0,3,0,0,7,0,0,2.5,12.875,0.0,0.0,90.0,152.5,5.0,15.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,85.0,85.0,0.0,0.0,0.0,0.0,156.0,163.0,31,10.61,4.4,28.0,2.44,2532.0,1266.0,1099.0,1433.0,4261.6,1514.5,322.0,12.7,706.0,27.9,1504.0,59.4,1221.0,48.2,969.0,38.3,342.0,13.5,322.0,12.7,866.0,34.2,1344.0,53.1,6686.0,0.0,85.0,3564.25,2475.0,0.0,21500.0,4,Local Station
A21,PK18,PK,รฟม.,BTS Group (NBM),ลาดปลาเค้า,PK18 ลาดปลาเค้า,1435.0,4,5,2,0,0,0,0,0,2,0,0,6,0,0,5.0,18.75,0.0,0.0,15.0,90.0,5.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,250.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,47.5,50,8.1,4.0,24.0,2.17,3298.0,1529.0,1529.0,1769.0,7391.4,1695.0,500.0,15.2,974.0,29.5,1824.0,55.3,1480.0,44.9,1818.0,55.1,0.0,0.0,844.0,25.6,920.0,27.9,1534.0,46.5,12773.5,0.0,456.5,1551.75,1062.0,8.75,7250.0,4,Local Station
A21,PK19,PK,รฟม.,BTS Group (NBM),รามอินทรา กม.4,PK19 รามอินทรา กม.4,1212.0,4,4,0,0,0,0,0,0,2,0,0,9,0,0,3.0,13.5,0.0,0.0,6.0,194.25,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,207.33333333333337,85,5.94,3.1,28.0,3.3,1483.0,774.0,774.0,709.0,10199.1,976.0,0.0,0.0,931.0,62.8,552.0,37.2,931.0,62.8,552.0,37.2,0.0,0.0,0.0,0.0,1483.0,100.0,0.0,0.0,14915.25,0.0,341.0,1159.75,1377.75,0.0,7250.0,4,Local Station
A21,PK20,PK,รฟม.,BTS Group (NBM),มัยลาภ,PK20 มัยลาภ,964.0,5,2,0,0,0,0,0,0,3,0,0,9,0,0,8.0,21.75,0.0,0.0,45.0,177.25,3.5,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,186.0,57,6.95,4.0,28.0,3.03,1550.0,811.0,811.0,739.0,9349.4,1077.9,8.0,0.5,407.0,26.3,1135.0,73.2,1220.0,78.7,330.0,21.3,0.0,0.0,0.0,0.0,777.0,50.1,773.0,49.9,17539.333333333332,0.0,214.66666666666663,913.6666666666666,667.6666666666666,0.0,0.0,3,Local Station
