station,bus_stop_count,bus_stop_min_dist,bus_stop_mean_dist,win_count,win_min_dist,win_mean_dist,songtaew_count,songtaew_min_dist,songtaew_mean_dist,minibus_count,minibus_min_dist,minibus_mean_dist,taxi_count,taxi_min_dist,taxi_mean_dist,tuktuk_count,tuktuk_min_dist,tuktuk_mean_dist,kiss_ride_count,kiss_ride_min_dist,kiss_ride_mean_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_car_mean_dist,park_ride_moto_count,park_ride_moto_min_dist,park_ride_moto_mean_dist,bike_parking_count,bike_parking_min_dist,bike_parking_mean_dist,bike_share_count,bike_share_min_dist,bike_share_mean_dist,scooter_share_count,scooter_share_min_dist,scooter_share_mean_dist
MRT บางพลัด,2,25.0,117.5,3,180.0,230.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,10.0,186.66666666666666,0,0.0,0.0,0,0,0
MRT บางยี่ขัน,2,50.0,50.0,2,15.0,82.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,30.0,30.0,0,0.0,0.0,0,0,0
MRT บางอ้อ,2,45.0,67.5,1,5.0,5.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,30.0,30.0,0,0.0,0.0,0,0,0
MRT บางแค,3,56.87250348,148.69837519333333,2,10.0,26.95695621,1,56.87250348,56.87250348,0,0.0,0.0,0,0.0,0.0,1,56.87250348,56.87250348,1,105.3778386,105.3778386,0,0.0,0.0,0,0.0,0.0,3,12.66381364,38.5350543,0,0.0,0.0,0,0,0
MRT บางไผ่,2,11.49854197,26.702783824999997,2,17.31339795,44.788467245,0,0.0,0.0,0,0.0,0.0,1,240.1273279,240.1273279,0,0.0,0.0,1,240.1273279,240.1273279,0,0.0,0.0,0,0.0,0.0,3,12.16913519,29.799611009999996,0,0.0,0.0,0,0,0
MRT พระราม 9,2,17.3240662,70.59836645,2,18.39296367,21.64287595,0,0.0,0.0,0,0.0,0.0,1,43.34500771,43.34500771,2,15.54099817,152.32780583500002,3,18.39296367,28.87691987,0,0.0,0.0,0,0.0,0.0,1,475.4520284,475.4520284,0,0.0,0.0,0,0,0
MRT ภาวนา,2,30.0,44.0,2,74.0,97.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,3.0,7.666666666666667,0,0.0,0.0,0,0,0
MRT ภาษีเจริญ,2,31.02583725,34.15918754,2,60.0,133.57144060000002,0,0.0,0.0,0,0.0,0.0,1,47.06273172,47.06273172,0,0.0,0.0,2,6.880025954,18.952931602,0,0.0,0.0,0,0.0,0.0,3,6.650893519,28.16047986966667,0,0.0,0.0,0,0,0
MRT มหาดไทย,3,5.0,80.0,2,57.0,78.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,5.0,5.0,0,0.0,0.0,0,0,0
MRT รัชดาภิเษก,2,17.22048848,60.23680644,1,48.98909746,48.98909746,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,33.83854136,41.61898841000001,1,30.77090117,30.77090117,1,30.77090117,30.77090117,1,30.77090117,30.77090117,0,0.0,0.0,0,0,0
MRT ลาดพร้าว 101,2,25.0,49.0,3,24.0,49.666666666666664,1,73.0,73.0,1,73.0,73.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,2.0,9.75,0,0.0,0.0,0,0,0
MRT ลาดพร้าว 71,2,5.0,31.5,2,29.0,51.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,2.0,2.5,0,0.0,0.0,0,0,0
MRT ลาดพร้าว 83,4,66.0,103.75,3,32.0,69.33333333333333,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,8.0,10.5,0,0.0,0.0,0,0,0
MRT ลุมพินี,2,9.594103158,119.797051579,2,23.62897419,40.902281285,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,21.03561414,25.723540725,0,0.0,0.0,0,0.0,0.0,2,289.3310947,387.08454095,0,0.0,0.0,0,0,0
MRT วัดมังกร,2,165.4903335156726,197.7451667578363,2,17.63958127778928,49.418674072576046,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,400.0,400.0,1,3.0,3.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0
