station,bus_stop_count,bus_stop_min_dist,win_count,win_min_dist,songtaew_count,songtaew_min_dist,minibus_count,minibus_min_dist,taxi_count,taxi_min_dist,tuktuk_count,tuktuk_min_dist,kiss_ride_count,kiss_ride_min_dist,park_ride_car_count,park_ride_car_min_dist,park_ride_moto_count,park_ride_moto_min_dist,bike_parking_count,bike_parking_min_dist,bike_share_count,bike_share_min_dist,scooter_share_count,scooter_share_min_dist
MRT ทิพวัล,4,59.0,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT บางกะปิ,4,10.0,4,3.0,1,200.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT บางขุนนนท์,4,40.0,4,10.0,0,0.0,0,0.0,0,0.0,0,0.0,2,170.0,0,0.0,0,0.0,4,10.0,0,0.0,0,0
MRT บางพลัด,4,25.0,4,180.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,10.0,0,0.0,0,0
MRT บางยี่ขัน,4,50.0,4,15.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,30.0,0,0.0,0,0
MRT บางอ้อ,4,45.0,2,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,30.0,0,0.0,0,0
MRT บางแค,4,56.87250348,4,10.0,2,56.87250348,0,0.0,0,0.0,2,56.87250348,2,105.3778386,0,0.0,0,0.0,4,12.66381364,0,0.0,0,0
MRT บางไผ่,4,11.49854197,4,17.31339795,0,0.0,0,0.0,2,240.1273279,0,0.0,2,240.1273279,0,0.0,0,0.0,4,12.16913519,0,0.0,0,0
MRT พระราม 9,3,17.3240662,3,18.39296367,0,0.0,0,0.0,2,43.34500771,3,15.54099817,3,18.39296367,0,0.0,0,0.0,1,475.4520284,0,0.0,0,0
MRT ภาวนา,4,30.0,4,74.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,3.0,0,0.0,0,0
MRT ภาษีเจริญ,4,31.02583725,4,60.0,0,0.0,0,0.0,2,47.06273172,0,0.0,4,6.880025954,0,0.0,0,0.0,4,6.650893519,0,0.0,0,0
MRT มหาดไทย,4,5.0,4,57.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,5.0,0,0.0,0,0
MRT รัชดาภิเษก,4,17.22048848,2,48.98909746,0,0.0,0,0.0,0,0.0,0,0.0,4,33.83854136,2,30.77090117,2,30.77090117,2,30.77090117,0,0.0,0,0
MRT ลาดพร้าว 101,4,25.0,4,24.0,2,73.0,2,73.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,0,0.0,0,0
MRT ลาดพร้าว 71,4,5.0,4,29.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,2.0,0,0.0,0,0
MRT ลาดพร้าว 83,4,66.0,4,32.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,8.0,0,0.0,0,0
MRT ลุมพินี,3,9.594103158,3,23.62897419,0,0.0,0,0.0,0,0.0,0,0.0,3,21.03561414,0,0.0,0,0.0,3,289.3310947,0,0.0,0,0
MRT วัดมังกร,3,165.4903335156726,3,17.63958127778928,0,0.0,0,0.0,0,0.0,1,400.0,2,3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0
MRT ศรีกรีฑา,4,190.0,4,5.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,3.0,0,0.0,0,0
